epoch,train_acc,test_acc,loss
,,,
1,0.5788,0.632,1.167049706
,,,
2,0.76654,0.7725,0.663193862
,,,
3,0.83622,0.7655,0.467235636
,,,
4,0.8886,0.788,0.31845946
,,,
5,0.9229,0.7708,0.220377267
,,,
6,0.9466,0.7711,0.15329605
,,,
7,0.96282,0.7826,0.104744573
,,,
8,0.97154,0.8106,0.08048617
,,,
9,0.9816,0.8043,0.056025411
,,,
10,0.9856,0.7997,0.044375762
,,,
11,0.98836,0.813,0.035155228
,,,
12,0.98984,0.8266,0.030737865
,,,
13,0.99084,0.8076,0.028366719
,,,
14,0.99236,0.8133,0.025294984
,,,
15,0.99528,0.8021,0.016859252
,,,
16,0.99498,0.8214,0.017197589
,,,
17,0.99688,0.8396,0.011832675
,,,
18,0.99962,0.8519,0.003255192
,,,
19,1,0.8591,0.001034867
,,,
20,1,0.8579,0.000594143
,,,
21,1,0.8587,0.000526011
,,,
22,1,0.8593,0.00053615
,,,
23,1,0.8595,0.000534932
,,,
24,1,0.86,0.00056386
,,,
25,1,0.8607,0.000582033
,,,
26,1,0.8596,0.000619239
,,,
27,1,0.8599,0.000647826
,,,
28,1,0.8598,0.00069355
,,,
29,1,0.8603,0.000707209
,,,
30,1,0.8595,0.000748874
