Epoch,cutmix,cutout,base,mixup
1,1.167049706,1.36845363,1.4250369,1.236820543
2,0.663193862,0.923648154,1.00933762,0.771248712
3,0.467235636,0.746648057,0.875698893,0.562122041
4,0.31845946,0.625713434,0.790191422,0.482620122
5,0.220377267,0.544701589,0.736423057,0.331561639
6,0.15329605,0.476379381,0.621747872,0.290621019
7,0.104744573,0.41820917,0.595674884,0.262040593
8,0.08048617,0.366309122,0.561011079,0.218690101
9,0.056025411,0.325245042,0.471501115,0.178384477
10,0.044375762,0.287793166,0.490540195,0.173125603
11,0.035155228,0.260680416,0.496923255,0.189580077
12,0.030737865,0.236294214,0.447457896,0.162861664
13,0.028366719,0.218405922,0.456611929,0.114411648
14,0.025294984,0.19661452,0.461059351,0.156763788
15,0.016859252,0.176930919,0.425795631,0.125322524
16,0.017197589,0.16482601,0.468754982,0.121596705
17,0.011832675,0.149556052,0.404696896,0.15257333
18,0.003255192,0.145506411,0.41850585,0.123977759
19,0.001034867,0.136260811,0.428685669,0.147320018
20,0.000594143,0.125183917,0.435684314,0.090226332
21,0.000526011,0.114105123,0.471520766,0.178820877
22,0.00053615,0.117196202,0.41690424,0.116817969
23,0.000534932,0.11018001,0.411938389,0.102040204
24,0.00056386,0.104976425,0.428912405,0.126755347
25,0.000582033,0.098575516,0.44664814,0.08628068
26,0.000619239,0.096577666,0.430737231,0.109820412
27,0.000647826,0.096376057,0.400707152,0.118056435
28,0.00069355,0.088015611,0.415178035,0.098320954
29,0.000707209,0.08933864,0.425969053,0.088891789
30,0.000748874,0.081955754,0.431885034,0.094366311
